drug_name,brand_name,generic_name,interacts_with_list,description,source
AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,"Appropriate, Clavulanate Potassium, Concomitant, Benedict, Probenecid Probenecid, Effects, Following, Since, Solution, High, Oral Contraceptives, Abnormal, Concurrent, Fehling, Allopurinol The, Oral Anticoagulants, Adjustments, Amoxicillin, Laboratory Tests",7 DRUG INTERACTIONS Co‑administration with probenecid is not recommended. ( 7.1 ) Concomitant use of Amoxicillin and Clavulanate Potassium and oral anticoagulants may increase the prolongation of prothrombin time.( 7.2 ) Co-administration with allopurinol increases the risk of rash. ( 7.3 ) Amoxicillin and Clavulanate Potassium may reduce efficacy of oral contraceptives. ( 7.4 ) 7.1 Probenecid Probenecid decreases the renal tubular secretion of amoxicillin but does not delay renal excretion of clavulanic acid. Concurrent use with Amoxicillin and Clavulanate Potassium may result in increased and prolonged blood concentrations of amoxicillin. Co-administration of probenecid is not recommended. 7.2 Oral Anticoagulants Abnormal prolongation of prothrombin time (increased international normalized ratio [INR]) has been reported in patients receiving amoxicillin and oral anticoagulants. Appropriate monitoring should be undertaken when anticoagulants are prescribed concurrently with Amoxicilli,FDA_openFDA
CIPROFLOXACIN,CIPROFLOXACIN,CIPROFLOXACIN,"However, Drug Interactions, Specific","Drug Interactions: Specific drug interaction studies have not been conducted with ophthalmic ciprofloxacin. However, the systemic administration of some quinolones has been shown to elevate plasma concentrations of theophylline, interfere with the metabolism of caffeine, enhance the effects of the oral anticoagulant, warfarin, and its derivatives, and has been associated with transient elevations in serum creatinine in patients receiving cyclosporine concomitantly.",FDA_openFDA
LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,LISINOPRIL AND HYDROCHLOROTHIAZIDE,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,"Dual Blockade, Agents Including, Nitritoid, Single, Avoid, Anti, Pressor, Agents Increasing, Angiotensin System, Lisinopril Hypotension, Absorption, Patients, Other Agents, Diuretic, Corticosteroids, Selective Cyclooxygenase, Drug Interactions, Diuretic Therapy, Alcohol, Dual","Drug Interactions Lisinopril Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diuretic, initiate therapy with lisinopril at a dose of 5 mg daily, and provide close medical supervision after the initial dose for at least two hours and until blood pressure has stabilized for at least an additional hour. (See WARNINGS , and DOSAGE AND ADMINISTRATION .) When a diuretic is added to the therapy of a patient receiving lisinopril, an additional antihypertensive effect is usually observed (See DOSAGE AND ADMINISTRATION .) Non-steroidal Anti-inflammatory Agents Including Select",FDA_openFDA
AZITHROMYCIN,AZITHROMYCIN,AZITHROMYCIN,"Nelfinavir, Warfarin Spontaneous, Close, Potential Drug, Drug Interaction, Prothrombin, Although, Until, Adverse Reactions, Warfarin, Macrolides Interactions, Nelfinavir Co, However","7 DRUG INTERACTIONS • Nelfinavir: Close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. ( 7.1 ) • Warfarin: Use with azithromycin may increase coagulation times; monitor prothrombin time. ( 7.2 ) 7.1 Nelfinavir Co-administration of nelfinavir at steady-state with a single oral dose of azithromycin resulted in increased azithromycin serum concentrations. Although a dose adjustment of azithromycin is not recommended when administered in combination with nelfinavir, close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. [see Adverse Reactions (6) ] 7.2 Warfarin Spontaneous postmarketing reports suggest that concomitant administration of azithromycin may potentiate the effects of oral anticoagulants such as warfarin, although the prothrombin time was not affected in the dedicated drug interaction study with azithromycin and warfari",FDA_openFDA
DOXYCYCLINE,DOXYCYCLINE,DOXYCYCLINE,"Since, Barbiturates, Drug Interactions, Concurrent, Penthrane, Because, Absorption","Drug Interactions Because tetracyclines have been shown to depress plasma prothrombin activity, patients who are on anticoagulant therapy may require downward adjustment of their anticoagulant dosage. Since bacteriostatic drugs may interfere with the bactericidal action of penicillin, it is advisable to avoid giving tetracyclines in conjunction with penicillin. Absorption of tetracyclines is impaired by antacids containing aluminum, calcium, or magnesium, and iron-containing preparations. Absorption of tetracyclines is impaired by bismuth subsalicylate. Barbiturates, carbamazepine, and phenytoin decrease the half-life of doxycycline. The concurrent use of tetracycline and Penthrane ® (methoxyflurane) has been reported to result in fatal renal toxicity. Concurrent use of tetracycline may render oral contraceptives less effective.",FDA_openFDA
PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,"Nelfinavir, Atazanavir, False Positive, Saquinavir, Intervention, Warnings, Drugs Dependent, Diagnostics Antiretrovirals, Concomitant, Gastric, Avoid, Urine Tests, There, Absorption, Investigations, Temporarily, Dose, Clinical Pharmacology, Table, Precautions","7 DRUG INTERACTIONS See the full prescribing information for a list of clinically important drug interactions. ( 7 ) Table 3 includes drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with pantoprazole sodium and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Pantoprazole Sodium and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect of PPIs on antiretroviral drugs is variable. The clinical importance and the mechanisms behind these interactions are not always known. Decreased exposure of some antiretroviral drugs (e.g., rilpivirine atazanavir, and nelfinavir) when used concomitantly with pantoprazole sodium may reduce antiviral effect and promote the development of drug resistance. Increased exposure of other antiret",FDA_openFDA
SIMVASTATIN,SIMVASTATIN,SIMVASTATIN,"Risk, Daptomycin Clinical, Colchicine Clinical, Intervention, Blockers Clinical, Gemfibrozil, Niacin Clinical, Concomitant, Avoid, Once, There, Examples, Consider, Increase, Digoxin Clinical, Fibrates, Lomitapide Clinical, Reduce, Impact, Table","7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of simvastatin with other drugs or grapefruit juice that increase the risk of myopathy and rhabdomyolysis. ( 2.5 , 7.1 ) Coumarin Anticoagulants: Obtain INR before simvastatin initiation and monitor INR during simvastatin dosage initiation or adjustment. ( 7.2 ) Digoxin: During simvastatin initiation, monitor digoxin levels. ( 7.2 ) 7.1 Drug Interactions that Increase the Risk of Myopathy and Rhabdomyolysis with Simvastatin Simvastatin is a substrate of CYP3A4 and of the transport protein OATP1B1. Simvastatin exposure can be significantly increased with concomitant administration of inhibitors of CYP3A4 and OATP1B1. Table 2 includes a list of drugs that increase the risk of myopathy and rhabdomyolysis when used concomitantly with simvastatin and instructions for preventing or managing them [see WARNINGS AND PRECAUTIONS ( 5.1 ) AND CLINICAL PHARMACOLOGY ( 12.3 )] . Table 2: Drug Interactions that ",FDA_openFDA
LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,"Risk, Dual Blockade, Affairs Nephropathy, Coadministration, Avoid, Agents Increasing, Angiotensin System, Lithium Increases, Dual Inhibition, Patients, Steroidal Anti, Including Selective, Closely, Dual, Monitor, Renin, Inflammatory Drugs, Increased, Inhibitors, Serum Potassium","7 DRUG INTERACTIONS • Agents Increasing Serum Potassium: Risk of hyperkalemia. (7.1) • Lithium: Risk of lithium toxicity. (7.2) • NSAIDs: Increased risk of renal impairment and reduced diuretic, natriuretic, and antihypertensive effects. (7.3) • Dual Inhibition of the Renin-Angiotensin System: Increased risk of renal impairment, hypotension, syncope, and hyperkalemia. (7.4) 7.1 Agents Increasing Serum Potassium Coadministration of losartan with other drugs that raise serum potassium levels may result in hyperkalemia. Monitor serum potassium in such patients. 7.2 Lithium Increases in serum lithium concentrations and lithium toxicity have been reported during concomitant administration of lithium with angiotensin II receptor antagonists. Monitor serum lithium levels during concomitant use. 7.3 Non-Steroidal Anti-Inflammatory Drugs (NSAIDs) Including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors) In patients who are elderly, volume-depleted (including those on diuretic therapy),",FDA_openFDA
ABACAVIR,ABACAVIR,ABACAVIR,"Clinical Pharmacology, Methadone, Riociguat, Riociguat Coadministration, Methadone In","7 DRUG INTERACTIONS Methadone: An increased methadone dose may be required in a small number of patients. (7.1) Riociguat: The riociguat dose may need to be reduced. (7.2) 7.1 Methadone In a trial of 11 HIV-1-infected subjects receiving methadone-maintenance therapy with 600 mg of abacavir twice daily (twice the currently recommended dose), oral methadone clearance increased [see Clinical Pharmacology (12.3) ]. This alteration will not result in a methadone dose modification in the majority of patients; however, an increased methadone dose may be required in a small number of patients. 7.2 Riociguat Coadministration with fixed-dose abacavir/dolutegravir/lamivudine resulted in increased riociguat exposure, which may increase the risk of riociguat adverse reactions [see Clinical Pharmacology (12.3) ]. The riociguat dose may need to be reduced. See full prescribing information for ADEMPAS (riociguat).",FDA_openFDA
LAMIVUDINE AND ZIDOVUDINE,LAMIVUDINE AND ZIDOVUDINE,LAMIVUDINE AND ZIDOVUDINE,"Nucleoside, Hematologic, Zidovudine Concomitant, Ganciclovir, Concomitant, Coadministration, Lamivudine Sorbitol, Stavudine, Cytotoxic Agents, Antagonistic, Clinical Pharmacology, Sorbitol, Interferon, Suppressive, Bone Marrow, Zidovudine Agents, Ribavirin, Doxorubicine, Agents","7 DRUG INTERACTIONS • Agents antagonistic with zidovudine: Concomitant use should be avoided. (7.1) • Hematologic/bone marrow suppressive/cytotoxic agents: May increase the hematologic toxicity of zidovudine. (7.1) • Sorbitol: Coadministration of lamivudine and sorbitol may decrease lamivudine concentrations; when possible, avoid chronic coadministration. (7.2) • Agents antagonistic with zidovudine: Concomitant use should be avoided. (7.1) • Hematologic/bone marrow suppressive/cytotoxic agents: May increase the hematologic toxicity of zidovudine. (7.1) • Sorbitol: Coadministration of lamivudine and sorbitol may decrease lamivudine concentrations; when possible, avoid chronic coadministration. (7.2) 7.1 Zidovudine Agents Antagonistic with Zidovudine Concomitant use of zidovudine with the following drugs should be avoided since an antagonistic relationship has been demonstrated in vitro : • Stavudine • Doxorubicine • Nucleoside analogues, e.g., ribavirin Hematologic/Bone Marrow Suppressi",FDA_openFDA
LOPINAVIR AND RITONAVIR,LOPINAVIR AND RITONAVIR,LOPINAVIR AND RITONAVIR,"Antidepressant, Antiarrhythmics, Endothelin Receptor, Hypnotics, Antiviral Agents, Cushing, Dosage, Anti, Isavuconazonium, Predicted Interactions, Ophthalmic Corticosteroids, Other Potentially, Other Agents, Reductase Inhibitors, Antianginal, Table, Precautions, Anticancer Agents, After, Antagonists","7 DRUG INTERACTIONS Co-administration of lopinavir and ritonavir can alter the plasma concentrations of other drugs and other drugs may alter the plasma concentrations of lopinavir. The potential for drug-drug interactions must be considered prior to and during therapy. ( 4 , 5.1 , 7 , 12.3 ) 7.1 Potential for Lopinavir And Ritonavir to Affect Other Drugs Lopinavir/ritonavir is an inhibitor of CYP3A and may increase plasma concentrations of agents that are primarily metabolized by CYP3A. Agents that are extensively metabolized by CYP3A and have high first pass metabolism appear to be the most susceptible to large increases in AUC (> 3-fold) when co-administered with lopinavir and ritonavir. Thus, co-administration of lopinavir and ritonavir with drugs highly dependent on CYP3A for clearance and for which elevated plasma concentrations are associated with serious and/or life-threatening events is contraindicated. Co-administration with other CYP3A substrates may require a dose adjustmen",FDA_openFDA
SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,"Tricyclic Antidepressant, Geriatric Patients, Regular, Consequently, Several, Hemostasis, Nursing Mothers, Pregnancy, Major Depressive, Drug Interactions, Urinary, Women, Long, Plasma, Accordingly, Aspirin, Digoxin, Many, Bound, Disorder","Drug Interactions Potential Effects of Coadministration of Drugs Highly Bound to Plasma Proteins –Because sertraline is tightly bound to plasma protein, the administration of sertraline hydrochloride to a patient taking another drug which is tightly bound to protein (e.g., warfarin, digitoxin) may cause a shift in plasma concentrations potentially resulting in an adverse effect. Conversely, adverse effects may result from displacement of protein bound sertraline hydrochloride by other tightly bound drugs. In a study comparing prothrombin time AUC (0-120 hr) following dosing with warfarin (0.75 mg/kg) before and after 21 days of dosing with either sertraline hydrochloride (50-200 mg/day) or placebo, there was a mean increase in prothrombin time of 8% relative to baseline for sertraline hydrochloride compared to a 1% decrease for placebo (p<0.02). The normalization of prothrombin time for the sertraline hydrochloride group was delayed compared to the placebo group. The clinical significa",FDA_openFDA
